CVE,CVSS3,EPSS,EPSS Percentile,Description,Vendor,Product
CVE-2023-20963,7.8,0.02006,0.83306,Android Framework contains an unspecified vulnerability that allows for privilege escalation after updating an app to a higher Target SDK with no additional execution privileges needed.,Android,Framework
CVE-2023-29492,9.8,0.18067,0.94988,Novi Survey contains an insecure deserialization vulnerability that allows remote attackers to execute code on the server in the context of the service account.,Novi Survey,Novi Survey
CVE-2023-28252,7.8,0.59046,0.98157,Microsoft Windows Common Log File System (CLFS) driver contains an unspecified vulnerability that allows for privilege escalation.,Microsoft,Windows
CVE-2023-28205,8.8,0.00092,0.26474,"Apple iOS, iPadOS, macOS, and Safari WebKit contain a use-after-free vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",Apple,Multiple Products
CVE-2023-28206,8.6,0.26311,0.96169,"Apple iOS, iPadOS, and macOS IOSurfaceAccelerator contain an out-of-bounds write vulnerability that allows an app to execute code with kernel privileges.",Apple,"iOS, iPadOS, and macOS"
CVE-2021-27876,8.1,0.01972,0.83179,Veritas Backup Exec (BE) Agent contains a file access vulnerability that could allow an attacker to specially craft input parameters on a data management protocol command to access files on the BE Agent machine.,Veritas,Backup Exec Agent
CVE-2021-27877,8.2,0.29375,0.96462,Veritas Backup Exec (BE) Agent contains an improper authentication vulnerability that could allow an attacker unauthorized access to the BE Agent via SHA authentication scheme.,Veritas,Backup Exec Agent
CVE-2021-27878,8.8,0.06921,0.91156,Veritas Backup Exec (BE) Agent contains a command execution vulnerability that could allow an attacker to use a data management protocol command to execute a command on the BE Agent machine.,Veritas,Backup Exec Agent
CVE-2019-1388,7.8,0.08181,0.91961,"Microsoft Windows Certificate Dialog contains a privilege escalation vulnerability, allowing attackers to run processes in an elevated context.",Microsoft,Windows
CVE-2023-26083,3.3,0.05173,0.89622,Arm Mali GPU Kernel Driver contains an information disclosure vulnerability that allows a non-privileged user to make valid GPU processing operations that expose sensitive kernel metadata.,Arm,Mali Graphics Processing Unit (GPU)
CVE-2022-27926,6.1,0.94114,0.99907,Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting vulnerability by allowing an endpoint URL to accept parameters without sanitizing.,Synacor,Zimbra Collaboration Suite (ZCS)
CVE-2013-3163,8.8,0.88223,0.99474,Microsoft Internet Explorer contains a memory corruption vulnerability that allows remote attackers to execute code or cause a denial of service via a crafted website.,Microsoft,Internet Explorer
CVE-2017-7494,9.8,0.94176,0.99914,"Samba contains a remote code execution vulnerability, allowing a malicious client to upload a shared library to a writable share and then cause the server to load and execute it.",Samba,Samba
CVE-2022-42948,9.8,0.19512,0.95239,Fortra Cobalt Strike User Interface contains an unspecified vulnerability rooted in Java Swing that may allow remote code execution.,Fortra,Cobalt Strike
CVE-2022-39197,6.1,0.144,0.94243,"Fortra Cobalt Strike contains a cross-site scripting (XSS) vulnerability in Teamserver that would allow an attacker to set a malformed username in the Beacon configuration, allowing them to execute code remotely.",Fortra,Cobalt Strike
CVE-2021-30900,7.8,0.01194,0.78509,"Apple GPU drivers, included in iOS, iPadOS, and macOS, contain an out-of-bounds write vulnerability that may allow a malicious application to execute code with kernel privileges.",Apple,"iOS, iPadOS, and macOS"
CVE-2022-38181,8.8,0.24547,0.95966,Arm Mali GPU Kernel Driver contains a use-after-free vulnerability that may allow a non-privileged user to gain root privilege and/or disclose information.,Arm,Mali Graphics Processing Unit (GPU)
CVE-2023-0266,7.9,0.00127,0.32965,Linux kernel contains a use-after-free vulnerability that allows for privilege escalation to gain ring0 access from the system user.,Linux,Kernel
CVE-2022-3038,8.8,0.35994,0.96971,"Google Chromium Network Service contains a use-after-free vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium Network Service
CVE-2022-22706,7.8,0.00093,0.26755,Arm Mali GPU Kernel Driver contains an unspecified vulnerability that allows a non-privileged user to achieve write access to read-only memory pages.,Arm,Mali Graphics Processing Unit (GPU)
CVE-2023-26360,8.6,0.9433,0.99951,Adobe ColdFusion contains a deserialization of untrusted data vulnerability that allows for remote code execution.,Adobe,ColdFusion
CVE-2023-23397,9.8,0.93641,0.99831,Microsoft Office Outlook contains a privilege escalation vulnerability that allows for a NTLM Relay attack against another service to authenticate as the user.,Microsoft,Office
CVE-2023-24880,4.4,0.77286,0.98942,Microsoft Windows SmartScreen contains a security feature bypass vulnerability that could allow an attacker to evade Mark of the Web (MOTW) defenses via a specially crafted malicious file.,Microsoft,Windows
CVE-2022-41328,6.7,0.0021,0.43631,Fortinet FortiOS contains a path traversal vulnerability that may allow a local privileged attacker to read and write files via crafted CLI commands.,Fortinet,FortiOS
CVE-2021-39144,8.5,0.9438,0.99966,"XStream contains a remote code execution vulnerability that allows an attacker to manipulate the processed input stream and replace or inject objects that result in the execution of a local command on the server. This vulnerability can affect multiple products, including but not limited to VMware Cloud Foundation.",XStream,XStream
CVE-2020-5741,7.2,0.46122,0.97548,Plex Media Server contains a remote code execution vulnerability that allows an attacker with access to the server administrator's Plex account to upload a malicious file via the Camera Upload feature and have the media server execute it.,Plex,Media Server
CVE-2022-28810,6.8,0.90458,0.99593,Zoho ManageEngine ADSelfService Plus contains an unspecified vulnerability allowing for remote code execution when performing a password change or reset.,Zoho,ManageEngine
CVE-2022-33891,8.8,0.93617,0.99828,Apache Spark contains a command injection vulnerability via Spark User Interface (UI) when Access Control Lists (ACLs) are enabled.,Apache,Spark
CVE-2022-35914,9.8,0.94395,0.99972,"Teclib GLPI contains a remote code execution vulnerability in the third-party library, htmlawed.",Teclib,GLPI
CVE-2022-36537,7.5,0.93917,0.9987,"ZK Framework AuUploader servlets contain an unspecified vulnerability that could allow an attacker to retrieve the content of a file located in the web context. The ZK Framework is an open-source Java framework. This vulnerability can impact multiple products, including but not limited to ConnectWise R1Soft Server Backup Manager.",ZK Framework,AuUploader
CVE-2022-47986,9.8,0.94303,0.99943,"IBM Aspera Faspex could allow a remote attacker to execute code on the system, caused by a YAML deserialization flaw.",IBM,Aspera Faspex
CVE-2022-41223,6.8,0.03158,0.8657,The Director component in Mitel MiVoice Connect allows an authenticated attacker with internal network access to execute code within the context of the application.,Mitel,MiVoice Connect
CVE-2022-40765,6.8,0.03099,0.86459,The Mitel Edge Gateway component of MiVoice Connect allows an authenticated attacker with internal network access to execute commands within the context of the system.,Mitel,MiVoice Connect
CVE-2022-46169,9.8,0.94468,0.99996,Cacti contains a command injection vulnerability that allows an unauthenticated user to execute code.,Cacti,Cacti
CVE-2023-21715,7.3,0.0101,0.7671,"Microsoft Office Publisher contains a security feature bypass vulnerability that allows for a local, authenticated attack on a targeted system.",Microsoft,Office
CVE-2023-23376,7.8,0.20051,0.95325,Microsoft Windows Common Log File System (CLFS) driver contains an unspecified vulnerability that allows for privilege escalation.,Microsoft,Windows
CVE-2023-23529,8.8,0.00045,0.13794,"Apple iOS, MacOS, Safari and iPadOS WebKit contain a type confusion vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",Apple,Multiple Products
CVE-2023-21823,7.8,0.06669,0.90973,Microsoft Windows Graphic Component contains an unspecified vulnerability that allows for privilege escalation.,Microsoft,Windows
CVE-2015-2291,7.8,0.03181,0.86634,Intel ethernet diagnostics driver for Windows IQVW32.sys and IQVW64.sys contain an unspecified vulnerability that allows for a denial-of-service (DoS).,Intel,Ethernet Diagnostics Driver for Windows
CVE-2022-24990,7.5,0.94284,0.99936,TerraMaster OS contains a remote command execution vulnerability that allows an unauthenticated user to execute commands on the target endpoint.,TerraMaster,TerraMaster OS
CVE-2023-0669,7.2,0.94378,0.99964,"Fortra (formerly, HelpSystems) GoAnywhere MFT contains a pre-authentication remote code execution vulnerability in the License Response Servlet due to deserializing an attacker-controlled object.",Fortra,GoAnywhere MFT
CVE-2022-21587,9.8,0.94397,0.99974,Oracle E-Business Suite contains an unspecified vulnerability that allows an unauthenticated attacker with network access via HTTP to compromise Oracle Web Applications Desktop Integrator.,Oracle,E-Business Suite
CVE-2023-22952,8.8,0.93075,0.99778,"Multiple SugarCRM products contain a remote code execution vulnerability in the EmailTemplates. Using a specially crafted request, custom PHP code can be injected through the EmailTemplates.",SugarCRM,Multiple Products
CVE-2017-11357,9.8,0.93843,0.99859,Telerik UI for ASP.NET AJAX contains an insecure direct object reference vulnerability in RadAsyncUpload that can result in file uploads in a limited location and/or remote code execution.,Telerik,User Interface (UI) for ASP.NET AJAX
CVE-2022-47966,9.8,0.94385,0.99968,"Multiple Zoho ManageEngine products contain an unauthenticated remote code execution vulnerability due to the usage of an outdated third-party dependency, Apache Santuario.",Zoho,ManageEngine
CVE-2022-44877,9.8,0.94457,0.99993,CWP Control Web Panel (formerly CentOS Web Panel) contains an OS command injection vulnerability that allows remote attackers to execute commands via shell metacharacters in the login parameter.,CWP,Control Web Panel
CVE-2022-41080,8.8,0.93795,0.9985,"Microsoft Exchange Server contains an unspecified vulnerability that allows for privilege escalation. This vulnerability is chainable with CVE-2022-41082, which allows for remote code execution.",Microsoft,Exchange Server
CVE-2023-21674,8.8,0.12848,0.9384,Microsoft Windows Advanced Local Procedure Call (ALPC) contains an unspecified vulnerability that allows for privilege escalation.,Microsoft,Windows
CVE-2018-5430,8.8,0.60745,0.98229,"TIBCO JasperReports Server contain a vulnerability which may allow any authenticated user read-only access to the contents of the web application, including key configuration files.",TIBCO,JasperReports
CVE-2018-18809,6.5,0.93914,0.99869,TIBCO JasperReports Library contains a directory-traversal vulnerability that may allow web server users to access contents of the host system.,TIBCO,JasperReports
CVE-2022-42856,8.8,0.00259,0.49181,Apple iOS contains a type confusion vulnerability when processing maliciously crafted web content leading to code execution.,Apple,iOS
CVE-2022-42475,9.8,0.94062,0.99896,"Multiple versions of Fortinet FortiOS SSL-VPN contain a heap-based buffer overflow vulnerability which can allow an unauthenticated, remote attacker to execute arbitrary code or commands via specifically crafted requests.",Fortinet,FortiOS
CVE-2022-44698,5.4,0.66423,0.98476,Microsoft Defender SmartScreen contains a security feature bypass vulnerability that could allow an attacker to evade Mark of the Web (MOTW) defenses via a specially crafted malicious file.,Microsoft,Defender
CVE-2022-27518,9.8,0.22959,0.95748,"Citrix Application Delivery Controller (ADC) and Gateway, when configured with SAML SP or IdP configuration, contain an authentication bypass vulnerability that allows an attacker to execute code as administrator.",Citrix,Application Delivery Controller (ADC) and Gateway
CVE-2022-26500,8.8,0.20116,0.95335,The Veeam Distribution Service in the Backup & Replication application allows unauthenticated users to access internal API functions. A remote attacker can send input to the internal API which may lead to uploading and executing of malicious code.,Veeam,Backup & Replication
CVE-2022-26501,9.8,0.66731,0.98488,The Veeam Distribution Service in the Backup & Replication application allows unauthenticated users to access internal API functions. A remote attacker can send input to the internal API which may lead to uploading and executing of malicious code.,Veeam,Backup & Replication
CVE-2022-4262,8.8,0.06353,0.90741,"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium V8
CVE-2021-35587,9.8,0.94234,0.99923,Oracle Fusion Middleware Access Manager allows an unauthenticated attacker with network access via HTTP to takeover the Access Manager product.,Oracle,Fusion Middleware
CVE-2022-4135,9.6,0.00153,0.36761,"Google Chromium GPU contains a heap buffer overflow vulnerability that allows a remote attacker, who has compromised the renderer process, to potentially perform a sandbox escape via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium GPU
CVE-2022-41049,5.4,0.12955,0.93869,Microsoft Windows Mark of the Web (MOTW) contains a security feature bypass vulnerability resulting in a limited loss of integrity and availability of security features.,Microsoft,Windows
CVE-2022-41091,5.4,0.06783,0.91066,Microsoft Windows Mark of the Web (MOTW) contains a security feature bypass vulnerability resulting in a limited loss of integrity and availability of security features.,Microsoft,Windows
CVE-2022-41073,7.8,0.02508,0.85008,Microsoft Windows Print Spooler contains an unspecified vulnerability that allows an attacker to gain SYSTEM-level privileges.,Microsoft,Windows
CVE-2022-41125,7.8,0.00923,0.75602,Microsoft Windows Cryptographic Next Generation (CNG) Key Isolation Service contains an unspecified vulnerability that allows an attacker to gain SYSTEM-level privileges.,Microsoft,Windows
CVE-2022-41128,8.8,0.39236,0.9717,Microsoft Windows contains an unspecified vulnerability in the JScript9 scripting language which allows for remote code execution.,Microsoft,Windows
CVE-2021-25337,4.4,0.00296,0.52704,Samsung mobile devices contain an improper access control vulnerability in clipboard service which allows untrusted applications to read or write arbitrary files. This vulnerability was chained with CVE-2021-25369 and CVE-2021-25370.,Samsung,Mobile Devices
CVE-2021-25369,6.2,0.00112,0.30566,Samsung mobile devices using Mali GPU contains an improper access control vulnerability in sec_log file. Exploitation of the vulnerability exposes sensitive kernel information to the userspace. This vulnerability was chained with CVE-2021-25337 and CVE-2021-25370.,Samsung,Mobile Devices
CVE-2021-25370,6.1,0.00337,0.56162,"Samsung mobile devices using Mali GPU contain an incorrect implementation handling file descriptor in dpu driver. This incorrect implementation results in memory corruption, leading to kernel panic. This vulnerability was chained with CVE-2021-25337 and CVE-2021-25369.",Samsung,Mobile Devices
CVE-2022-3723,8.8,0.00523,0.66452,"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium V8
CVE-2022-42827,7.8,0.00207,0.43282,Apple iOS and iPadOS kernel contain an out-of-bounds write vulnerability which can allow an application to perform code execution with kernel privileges.,Apple,iOS and iPadOS
CVE-2020-3433,7.8,0.04462,0.88777,Cisco AnyConnect Secure Mobility Client for Windows interprocess communication (IPC) channel allows for insufficient validation of resources that are loaded by the application at run time. An attacker with valid credentials on Windows could execute code on the affected machine with SYSTEM privileges.,Cisco,AnyConnect Secure
CVE-2020-3153,6.5,0.25087,0.9602,"Cisco AnyConnect Secure Mobility Client for Windows allows for incorrect handling of directory paths. An attacker with valid credentials on Windows would be able to copy malicious files to arbitrary locations with system level privileges. This could include DLL pre-loading, DLL hijacking, and other related attacks.",Cisco,AnyConnect Secure
CVE-2018-19323,9.8,0.19316,0.95205,"The GPCIDrv and GDrv low-level drivers in GIGABYTE App Center, AORUS Graphics Engine, XTREME Gaming Engine, and OC GURU expose functionality to read and write arbitrary physical memory. This could be leveraged by a local attacker to elevate privileges.",GIGABYTE,Multiple Products
CVE-2018-19322,7.8,0.04357,0.88646,"The GPCIDrv and GDrv low-level drivers in GIGABYTE App Center, AORUS Graphics Engine, XTREME Gaming Engine, and OC GURU II expose functionality to read/write data from/to IO ports. This could be leveraged in a number of ways to ultimately run code with elevated privileges.",GIGABYTE,Multiple Products
CVE-2018-19321,7.8,0.31896,0.96683,"The GPCIDrv and GDrv low-level drivers in GIGABYTE App Center, AORUS Graphics Engine, XTREME Gaming Engine, and OC GURU II expose functionality to read and write arbitrary physical memory. This could be leveraged by a local attacker to elevate privileges.",GIGABYTE,Multiple Products
CVE-2018-19320,7.8,0.36436,0.97004,"The GDrv low-level driver in GIGABYTE App Center, AORUS Graphics Engine, XTREME Gaming Engine, and OC GURU II exposes ring0 memcpy-like functionality that could allow a local attacker to take complete control of the affected system.",GIGABYTE,Multiple Products
CVE-2022-41352,9.8,0.93958,0.99877,Synacor Zimbra Collaboration Suite (ZCS) allows an attacker to upload arbitrary files using cpio package to gain incorrect access to any other user accounts.,Synacor,Zimbra Collaboration Suite (ZCS)
CVE-2021-3493,8.8,0.75549,0.98863,"The overlayfs stacking file system in Linux kernel does not properly validate the application of file capabilities against user namespaces, which could lead to privilege escalation.",Linux,Kernel
CVE-2022-40684,9.8,0.94399,0.99975,"Fortinet FortiOS, FortiProxy, and FortiSwitchManager contain an authentication bypass vulnerability that could allow an unauthenticated attacker to perform operations on the administrative interface via specially crafted HTTP or HTTPS requests.",Fortinet,Multiple Products
CVE-2022-41033,7.8,0.01567,0.81155,Microsoft Windows COM+ Event System Service contains an unspecified vulnerability that allows for privilege escalation.,Microsoft,Windows COM+ Event System Service
CVE-2022-41082,8.0,0.91282,0.99641,"Microsoft Exchange Server contains an unspecified vulnerability that allows for authenticated remote code execution. Dubbed ""ProxyNotShell,"" this vulnerability is chainable with CVE-2022-41040 which allows for the remote code execution.",Microsoft,Exchange Server
CVE-2022-41040,8.8,0.94122,0.99909,"Microsoft Exchange Server allows for server-side request forgery. Dubbed ""ProxyNotShell,"" this vulnerability is chainable with CVE-2022-41082 which allows for remote code execution.",Microsoft,Exchange Server
CVE-2022-36804,8.8,0.94429,0.99983,"Multiple API endpoints of Atlassian Bitbucket Server and Data Center contain a command injection vulnerability where an attacker with access to a public Bitbucket repository, or with read permissions to a private one, can execute code by sending a malicious HTTP request.",Atlassian,Bitbucket Server and Data Center
CVE-2022-3236,9.8,0.91729,0.9967,A code injection vulnerability in the User Portal and Webadmin of Sophos Firewall allows for remote code execution.,Sophos,Firewall
CVE-2022-35405,9.8,0.9442,0.99979,"Zoho ManageEngine PAM360, Password Manager Pro, and Access Manager Plus contain an unspecified vulnerability that allows for remote code execution.",Zoho,ManageEngine
CVE-2022-40139,7.2,0.12882,0.93849,Trend Micro Apex One and Apex One as a Service contain an improper validation of rollback mechanism components that could lead to remote code execution.,Trend Micro,Apex One and Apex One as a Service
CVE-2013-6282,8.8,0.51236,0.97785,The get_user and put_user API functions of the Linux kernel fail to validate the target address when being used on ARM v6k/v7 platforms. This allows an application to read and write kernel memory which could lead to privilege escalation.,Linux,Kernel
CVE-2013-2597,8.4,0.06744,0.91042,The Code Aurora audio calibration database (acdb) audio driver contains a stack-based buffer overflow vulnerability that allows for privilege escalation. Code Aurora is used in third-party products such as Qualcomm and Android.,Code Aurora,ACDB Audio Driver
CVE-2013-2596,7.8,0.02,0.83286,Linux kernel fb_mmap function in drivers/video/fbmem.c contains an integer overflow vulnerability that allows for privilege escalation.,Linux,Kernel
CVE-2013-2094,8.4,0.63103,0.98334,"Linux kernel fails to check all 64 bits of attr.config passed by user space, resulting to out-of-bounds access of the perf_swevent_enabled array in sw_perf_event_destroy(). Explotation allows for privilege escalation.",Linux,Kernel
CVE-2010-2568,7.8,0.92789,0.99755,Microsoft Windows incorrectly parses shortcuts in such a way that malicious code may be executed when the operating system displays the icon of a malicious shortcut file. An attacker who successfully exploited this vulnerability could execute code as the logged-on user.,Microsoft,Windows
CVE-2022-37969,7.8,0.14882,0.94355,Microsoft Windows Common Log File System (CLFS) driver contains an unspecified vulnerability that allows for privilege escalation.,Microsoft,Windows
CVE-2022-32917,7.8,0.00329,0.55514,"Apple kernel, which is included in iOS, iPadOS, and macOS, contains an unspecified vulnerability where an application may be able to execute code with kernel privileges.",Apple,"iOS, iPadOS, and macOS"
CVE-2022-3075,9.6,0.02991,0.86194,"Google Chromium Mojo contains an insufficient data validation vulnerability that allows a remote attacker, who has compromised the renderer process, to potentially perform a sandbox escape via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium Mojo
CVE-2022-27593,10.0,0.93262,0.99794,Certain QNAP NAS running Photo Station with internet exposure contain an externally controlled reference to a resource vulnerability which can allow an attacker to modify system files. This vulnerability was observed being utilized in a Deadbolt ransomware campaign.,QNAP,Photo Station
CVE-2022-26258,9.8,0.87658,0.99448,D-Link DIR-820L contains an unspecified vulnerability in Device Name parameter in /lan.asp which allows for remote code execution.,D-Link,DIR-820L
CVE-2020-9934,5.5,0.02101,0.8367,"Apple iOS, iPadOS, and macOS contain an unspecified vulnerability involving input validation which can allow a local attacker to view sensitive user information.",Apple,"iOS, iPadOS, and macOS"
CVE-2018-7445,9.8,0.85898,0.99365,"In MikroTik RouterOS, a stack-based buffer overflow occurs when processing NetBIOS session request messages. Remote attackers with access to the service can exploit this vulnerability and gain code execution on the system.",MikroTik,RouterOS
CVE-2018-6530,9.8,0.94038,0.99891,Multiple D-Link routers contain an unspecified vulnerability that allows for execution of OS commands.,D-Link,Multiple Routers
CVE-2018-2628,9.8,0.94422,0.9998,Oracle WebLogic Server contains an unspecified vulnerability which can allow an unauthenticated attacker with T3 network access to compromise the server.,Oracle,WebLogic Server
CVE-2018-13374,4.3,0.0263,0.85335,Fortinet FortiOS and FortiADC contain an improper access control vulnerability that allows attackers to obtain the LDAP server login credentials configured in FortiGate by pointing a LDAP server connectivity test request to a rogue LDAP server.,Fortinet,FortiOS and FortiADC
CVE-2017-5521,8.1,0.93804,0.99852,Multiple NETGEAR devices are prone to admin password disclosure via simple crafted requests to the web management server.,NETGEAR,Multiple Devices
CVE-2011-4723,5.7,0.12726,0.93798,"The D-Link DIR-300 router stores cleartext passwords, which allows context-dependent attackers to obtain sensitive information.",D-Link,DIR-300 Router
CVE-2011-1823,7.8,0.44847,0.97473,"The vold volume manager daemon in Android kernel trusts messages from a PF_NETLINK socket, which allows an attacker to execute code and gain root privileges. This vulnerability is associated with GingerBreak and Exploit.AndroidOS.Lotoor.",Android,Android OS
CVE-2022-26352,9.8,0.94337,0.99953,"dotCMS ContentResource API contains an unrestricted upload of file with a dangerous type vulnerability that allows for directory traversal, in which the file is saved outside of the intended storage location. Exploitation allows for remote code execution.",dotCMS,dotCMS
CVE-2022-24706,9.8,0.94392,0.9997,Apache CouchDB contains an insecure default initialization of resource vulnerability which can allow an attacker to escalate to administrative privileges.,Apache,CouchDB
CVE-2022-24112,9.8,0.94435,0.99985,Apache APISIX contains an authentication bypass vulnerability that allows for remote code execution.,Apache,APISIX
CVE-2022-22963,9.8,0.94462,0.99995,"When using routing functionality in VMware Tanzu's Spring Cloud Function, it is possible for a user to provide a specially crafted SpEL as a routing-expression that may result in remote code execution and access to local resources.",VMware Tanzu,Spring Cloud
CVE-2022-2294,8.8,0.01291,0.79306,"WebRTC, an open-source project providing web browsers with real-time communication, contains a heap buffer overflow vulnerability that allows an attacker to perform shellcode execution. This vulnerability impacts web browsers using WebRTC including but not limited to Google Chrome.",WebRTC,WebRTC
CVE-2021-39226,9.8,0.94326,0.9995,"Grafana contains an authentication bypass vulnerability that allows authenticated and unauthenticated users to view and delete all snapshot data, potentially resulting in complete snapshot data loss.",Grafana Labs,Grafana
CVE-2021-38406,7.8,0.77604,0.98954,Delta Electronics DOPSoft 2 lacks proper validation of user-supplied data when parsing specific project files (improper input validation) resulting in an out-of-bounds write that allows for code execution.,Delta Electronics,DOPSoft 2
CVE-2021-31010,7.5,0.01272,0.79161,"In affected versions of Apple iOS, macOS, and watchOS, a sandboxed process may be able to circumvent sandbox restrictions.",Apple,"iOS, macOS, watchOS"
CVE-2020-36193,7.5,0.72179,0.98711,PEAR Archive_Tar Tar.php allows write operations with directory traversal due to inadequate checking of symbolic links. PEAR stands for PHP Extension and Application Repository and it is an open-source framework and distribution system for reusable PHP components with known usage in third-party products such as Drupal Core and Red Hat Linux.,PEAR,Archive_Tar
CVE-2020-28949,7.8,0.92961,0.99768,PEAR Archive_Tar allows an unserialization attack because phar: is blocked but PHAR: is not blocked. PEAR stands for PHP Extension and Application Repository and it is an open-source framework and distribution system for reusable PHP components with known usage in third-party products such as Drupal Core and Red Hat Linux.,PEAR,Archive_Tar
CVE-2022-0028,8.6,0.04682,0.89053,A Palo Alto Networks PAN-OS URL filtering policy misconfiguration could allow a network-based attacker to conduct reflected and amplified TCP denial-of-service (RDoS) attacks.,Palo Alto Networks,PAN-OS
CVE-2022-22536,10.0,0.938,0.99851,"SAP NetWeaver Application Server ABAP, SAP NetWeaver Application Server Java, ABAP Platform, SAP Content Server and SAP Web Dispatcher allow HTTP request smuggling. An unauthenticated attacker can prepend a victim's request with arbitrary data, allowing for function execution impersonating the victim or poisoning intermediary Web caches.",SAP,Multiple Products
CVE-2022-32894,7.8,0.00314,0.54277,Apple iOS and macOS contain an out-of-bounds write vulnerability that could allow an application to execute code with kernel privileges.,Apple,iOS and macOS
CVE-2022-32893,8.8,0.00225,0.45295,Apple iOS and macOS contain an out-of-bounds write vulnerability that could allow for remote code execution when processing malicious crafted web content.,Apple,iOS and macOS
CVE-2022-2856,6.5,0.05114,0.89563,"Google Chromium Intents contains an insufficient validation of untrusted input vulnerability that allows a remote attacker to browse to a malicious website via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium Intents
CVE-2022-26923,8.8,0.91441,0.99653,"An authenticated user could manipulate attributes on computer accounts they own or manage, and acquire a certificate from Active Directory Certificate Services that would allow for privilege escalation to SYSTEM.",Microsoft,Active Directory
CVE-2022-21971,7.8,0.85608,0.99352,Microsoft Windows Runtime contains an unspecified vulnerability that allows for remote code execution.,Microsoft,Windows
CVE-2017-15944,9.8,0.94179,0.99915,"Palo Alto Networks PAN-OS contains multiple, unspecified vulnerabilities which can allow for remote code execution when chained.",Palo Alto Networks,PAN-OS
CVE-2022-27925,7.2,0.9431,0.99945,"Synacor Zimbra Collaboration Suite (ZCS) contains flaw in the mboximport functionality, allowing an authenticated attacker to upload arbitrary files to perform remote code execution. This vulnerability was chained with CVE-2022-37042 which allows for unauthenticated remote code execution.",Synacor,Zimbra Collaboration Suite (ZCS)
CVE-2022-37042,9.8,0.94333,0.99953,Synacor Zimbra Collaboration Suite (ZCS) contains an authentication bypass vulnerability in MailboxImportServlet. This vulnerability was chained with CVE-2022-27925 which allows for unauthenticated remote code execution.,Synacor,Zimbra Collaboration Suite (ZCS)
CVE-2022-34713,7.8,0.03724,0.8769,A remote code execution vulnerability exists when Microsoft Windows MSDT is called using the URL protocol from a calling application.,Microsoft,Windows
CVE-2022-30333,7.5,0.92572,0.99736,"RARLAB UnRAR on Linux and UNIX contains a directory traversal vulnerability, allowing an attacker to write to files during an extract (unpack) operation.",RARLAB,UnRAR
CVE-2022-27924,7.5,0.61989,0.98284,Synacor Zimbra Collaboration Suite (ZCS) allows an attacker to inject memcache commands into a targeted instance which causes an overwrite of arbitrary cached entries.,Synacor,Zimbra Collaboration Suite (ZCS)
CVE-2022-26138,9.8,0.94319,0.99947,"Atlassian Questions For Confluence App has hard-coded credentials, exposing the username and password in plaintext. A remote unauthenticated attacker can use these credentials to log into Confluence and access all content accessible to users in the confluence-users group.",Atlassian,Confluence
CVE-2022-22047,7.8,0.01458,0.80485,Microsoft Windows CSRSS contains an unspecified vulnerability that allows for privilege escalation to SYSTEM privileges.,Microsoft,Windows
CVE-2022-26925,8.1,0.37425,0.97068,Microsoft Windows Local Security Authority (LSA) contains a spoofing vulnerability where an attacker can coerce the domain controller to authenticate to the attacker using NTLM.,Microsoft,Windows
CVE-2022-29499,9.8,0.90941,0.99621,The Service Appliance component in Mitel MiVoice Connect allows remote code execution due to incorrect data validation.,Mitel,MiVoice Connect
CVE-2021-30533,6.5,0.10532,0.9306,"Google Chromium PopupBlocker contains an insufficient policy enforcement vulnerability that allows a remote attacker to bypass navigation restrictions via a crafted iframe. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium PopupBlocker
CVE-2021-4034,7.8,0.86734,0.99408,The Red Hat polkit pkexec utility contains an out-of-bounds read and write vulnerability that allows for privilege escalation with administrative rights.,Red Hat,Polkit
CVE-2021-30983,7.8,0.00678,0.71085,Apple iOS and iPadOS contain a buffer overflow vulnerability that could allow an application to execute code with kernel privileges.,Apple,iOS and iPadOS
